date,open,high,low,close,volume
2010-07-17,0.05000000,0.05000000,0.05000000,0.05000000,0.00000000
2010-07-18,0.08580000,0.08580000,0.08580000,0.08580000,0.00000000
2010-07-19,0.08080000,0.08080000,0.08080000,0.08080000,0.00000000
2010-07-20,0.07470000,0.07470000,0.07470000,0.07470000,0.00000000
2010-07-21,0.07920000,0.07920000,0.07920000,0.07920000,0.00000000
2010-07-22,0.05050000,0.05050000,0.05050000,0.05050000,0.00000000
2010-07-23,0.06260000,0.06260000,0.06260000,0.06260000,0.00000000
2010-07-24,0.05450000,0.05450000,0.05450000,0.05450000,0.00000000
2010-07-25,0.05050000,0.05050000,0.05050000,0.05050000,0.00000000
2010-07-26,0.05600000,0.05600000,0.05600000,0.05600000,0.00000000
2010-07-27,0.06000000,0.06000000,0.06000000,0.06000000,0.00000000
2010-07-28,0.05890000,0.05890000,0.05890000,0.05890000,0.00000000
2010-07-29,0.06990000,0.06990000,0.06990000,0.06990000,0.00000000
2010-07-30,0.06270000,0.06270000,0.06270000,0.06270000,0.00000000
2010-07-31,0.06790000,0.06790000,0.06790000,0.06790000,0.00000000
2010-08-01,0.06110000,0.06110000,0.06110000,0.06110000,0.00000000
2010-08-02,0.06000000,0.06000000,0.06000000,0.06000000,0.00000000
2010-08-03,0.06000000,0.06000000,0.06000000,0.06000000,0.00000000
2010-08-04,0.05700000,0.05700000,0.05700000,0.05700000,0.00000000
2010-08-05,0.06100000,0.06100000,0.06100000,0.06100000,0.00000000
2010-08-06,0.06230000,0.06230000,0.06230000,0.06230000,0.00000000
2010-08-07,0.05900000,0.05900000,0.05900000,0.05900000,0.00000000
2010-08-08,0.06090000,0.06090000,0.06090000,0.06090000,0.00000000
2010-08-09,0.07100000,0.07100000,0.07100000,0.07100000,0.00000000
2010-08-10,0.07000000,0.07000000,0.07000000,0.07000000,0.00000000
2010-08-11,0.06700000,0.06700000,0.06700000,0.06700000,0.00000000
2010-08-12,0.07000000,0.07000000,0.07000000,0.07000000,0.00000000
2010-08-13,0.06450000,0.06450000,0.06450000,0.06450000,0.00000000
2010-08-14,0.06700000,0.06700000,0.06700000,0.06700000,0.00000000
2010-08-15,0.06530000,0.06530000,0.06530000,0.06530000,0.00000000
2010-08-16,0.06550000,0.06550000,0.06550000,0.06550000,0.00000000
2010-08-17,0.07000000,0.07000000,0.07000000,0.07000000,0.00000000
2010-08-18,0.06800000,0.06800000,0.06800000,0.06800000,0.00000000
2010-08-19,0.06670000,0.06670000,0.06670000,0.06670000,0.00000000
2010-08-20,0.06550000,0.06550000,0.06550000,0.06550000,0.00000000
2010-08-21,0.06640000,0.06640000,0.06640000,0.06640000,0.00000000
2010-08-22,0.06600000,0.06600000,0.06600000,0.06600000,0.00000000
2010-08-23,0.06490000,0.06490000,0.06490000,0.06490000,0.00000000
2010-08-24,0.06500000,0.06500000,0.06500000,0.06500000,0.00000000
2010-08-25,0.06480000,0.06480000,0.06480000,0.06480000,0.00000000
2010-08-26,0.06400000,0.06400000,0.06400000,0.06400000,0.00000000
