as_of_date,sector,weight
2026-04-17,Communication Services,0.103
2026-04-17,Consumer Discretionary,0.1
2026-04-17,Consumer Staples,0.051
2026-04-17,Energy,0.04
2026-04-17,Financials,0.107
2026-04-17,Health Care,0.093
2026-04-17,Industrials,0.091
2026-04-17,Materials,0.019
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.33
2026-04-17,Utilities,0.025
