sector,weight
Communication Services,0.026
Consumer Discretionary,0.071
Consumer Staples,0.117
Energy,0.095
Financials,0.187
Health Care,0.132
Industrials,0.129
Materials,0.026
Real Estate,0.0
Technology,0.137
Utilities,0.06
