sector,weight
Communication Services,0.052
Consumer Discretionary,0.108
Consumer Staples,0.077
Energy,0.033
Financials,0.086
Health Care,0.122
Industrials,0.122
Materials,0.016
Real Estate,0.0
Technology,0.143
Utilities,0.053
