as_of_date,sector,weight
2026-04-17,Communication Services,0.16
2026-04-17,Consumer Discretionary,0.114
2026-04-17,Consumer Staples,0.081
2026-04-17,Energy,0.007
2026-04-17,Financials,0.002
2026-04-17,Health Care,0.049
2026-04-17,Industrials,0.036
2026-04-17,Materials,0.013
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.493
2026-04-17,Utilities,0.015
