as_of_date,sector,weight
2026-04-17,Communication Services,0.035
2026-04-17,Consumer Discretionary,0.092
2026-04-17,Consumer Staples,0.061
2026-04-17,Energy,0.044
2026-04-17,Financials,0.252
2026-04-17,Health Care,0.094
2026-04-17,Industrials,0.184
2026-04-17,Materials,0.069
2026-04-17,Technology,0.108
2026-04-17,Utilities,0.033
