period,mean,p10,p50,p90
0,1.0048815882208049,0.9665895388251753,1.0058445570671728,1.0377057908746412
1,1.010292832790212,0.9634579463863028,1.011942985179436,1.047118542969641
2,1.0146711434961566,0.9590100185429339,1.0192110173746105,1.0615023625644722
3,1.01997761840431,0.9666798522536594,1.0213420718625636,1.0713956361821952
4,1.0249155840562036,0.9622170500664025,1.0315803833919983,1.0860879116863849
5,1.0311211803426428,0.9740349146311845,1.0306784555127892,1.1049755706259075
6,1.036644808913211,0.9625666515800042,1.0350130573573617,1.1229512041731233
7,1.0428311422188334,0.9580121628303336,1.0382557371162702,1.1236956085153529
8,1.0485034705535619,0.9556162857131032,1.0460288433052722,1.1520011184951102
9,1.0554554186725484,0.9589647630565465,1.0491166058176717,1.1702811455990318
10,1.0612961992587715,0.9610340452600273,1.057410365299596,1.1716277732054847
11,1.0675503367062795,0.9582605693458544,1.0624086798999643,1.1787796048867571
12,1.072247712353833,0.9527022762107755,1.0700812009240441,1.190978813261031
13,1.0784486131783808,0.9536248933374866,1.0771905277278027,1.199684637779117
14,1.0836327908098344,0.9549435267565198,1.0831369041892196,1.2109725171858567
15,1.0891750858993325,0.9565867863943496,1.0890617303833596,1.2193263419134857
16,1.0946639987461417,0.9512138489937123,1.0943566157746065,1.2310274536024373
17,1.1012014905940914,0.9579587994272084,1.0992748205205638,1.2410139806697433
18,1.107311309184114,0.9554625859661641,1.104541263963817,1.2533423832167858
19,1.1140880799827408,0.9578124623955704,1.1112980787415112,1.2662093902871903
20,1.1206285959252593,0.9564416010174155,1.1172893745196237,1.278488544610497
21,1.1269082098504102,0.9590985593676663,1.1228117891031424,1.2910636088289447
22,1.1339662305698308,0.9579463243797667,1.1312148342899766,1.3008393131470917
23,1.1406203205482617,0.9618791419883693,1.1364008611062206,1.3168107694399616
24,1.1459705226100092,0.9652750710630537,1.143383191599957,1.326875225507037
25,1.1514232944021223,0.961857826894688,1.1493186286010282,1.3351048013800282
26,1.1570320409618755,0.9664225796627752,1.1539380348719277,1.3436847013568158
27,1.1632590849010966,0.9725630006617269,1.1603165300762315,1.3542288034151342
28,1.1690145434736992,0.9728939590283766,1.1650385893561142,1.3680335509761237
29,1.1751956072031267,0.975009631265331,1.1729964955786376,1.3736623502053265
30,1.1824961155822755,0.9823272213391179,1.1818942678449804,1.3829346527078819
31,1.1899485878613547,0.9822508784953604,1.1897643509890594,1.396529266900838
32,1.196369706835019,0.9838451192235972,1.1948855170623678,1.4088400590157748
33,1.2033008079353857,0.9838033151942454,1.19992341405089,1.416957025899212
34,1.2104492286422301,0.9907219555495502,1.2079557890479475,1.431965870486864
35,1.2172224604008697,0.9913510268538346,1.214880139067559,1.4414386413372697
36,1.2227845087654663,0.993612983978521,1.219896553534923,1.4573224983759512
37,1.2291026947220332,0.9964511910812129,1.2232078517885625,1.4638969211771355
38,1.2357318789274034,0.9981642232014112,1.2337404664159028,1.471365829465246
39,1.241519657797713,1.0033761521552713,1.2379268197331552,1.481222892680971
40,1.24788174394163,1.0082947205970512,1.2455486781782192,1.491954984728894
41,1.255582200438497,1.011050014941382,1.2503148962352495,1.4988177959429128
42,1.2634833550418654,1.0146645049026422,1.2591679983616677,1.5118345781109894
43,1.271234800942948,1.0186785699785035,1.2644478619404351,1.5260666596501484
44,1.2784368419927392,1.0140580562368913,1.2713314660069237,1.5456737966910845
45,1.2866083300281415,1.022758191593167,1.2800552943673416,1.5584667174372084
46,1.2942081911638792,1.0292048260983715,1.2861141740529127,1.5692459315755232
47,1.301760408831857,1.032191752579376,1.2914691601172352,1.5811847243488224
48,1.3086365960328048,1.035818917988035,1.2968961485406632,1.5979881815685408
49,1.3144168918724024,1.0408260001563618,1.3053234615191092,1.6076925732880851
50,1.3211010284683304,1.0425280813484974,1.31199535001058,1.6144975473743002
51,1.3282262613304758,1.0444973403422748,1.320338240681039,1.6242879251764841
52,1.3348362796889879,1.0460249216288586,1.3268749010319967,1.6364280525483241
53,1.3427422507203088,1.045874598646485,1.335202097363951,1.6505692651201296
54,1.350830834887912,1.0565237918519428,1.3398569429570397,1.6594451544396684
55,1.358724285527764,1.0548038645814637,1.348366519309062,1.6738059964321554
56,1.3670848277977905,1.062597332970846,1.3563941137271056,1.6877215269200565
57,1.3739840712488252,1.0655610985016322,1.3604567247500925,1.693548423005548
58,1.3825528095619755,1.0666689999470114,1.3721260349284925,1.7111780570904578
59,1.390944106661408,1.0673176413911398,1.3807030485922254,1.716635585275483
