period,mean,p10,p50,p90
0,1.003753911995584,0.9720259838010381,1.0050148305138604,1.0296762300196318
1,1.0074855503465228,0.9680725079748839,1.0090073664488095,1.040703087299162
2,1.011775126959987,0.9661820712448513,1.0156591018234256,1.0513279771670427
3,1.0156176635830954,0.9725618374774352,1.0195370724586812,1.0567383925650287
4,1.0202211295909658,0.9697407985130818,1.0219315461865093,1.0668407748449265
5,1.0250277770406973,0.9692551692339805,1.0258871880358884,1.0797190226336504
6,1.0293734470356908,0.9640669710225186,1.0306197305569866,1.0927494883442377
7,1.034705215967447,0.9716194968844645,1.0338975892286202,1.0982716612737442
8,1.0393684383383175,0.9644302296534326,1.0389580517367485,1.1156176222909322
9,1.044431953406154,0.966084591190288,1.0485118265916515,1.1225984766199886
10,1.0497366251799272,0.9745666364412743,1.0539612026140004,1.1277696604031742
11,1.0547231782419524,0.9696795881364598,1.0543089292647279,1.1396924189802575
12,1.05887843094342,0.9647130253165567,1.0618371918835594,1.150129829504971
13,1.0636533593778976,0.9656373653318872,1.0667404510011584,1.1592480367214697
14,1.0677358133513877,0.9627692549280774,1.0718008712310887,1.165409809320391
15,1.0723176182432894,0.962623962822637,1.076827627175652,1.1748161795610412
16,1.0768256419100493,0.9586462675464981,1.0811366840600194,1.1800493397558853
17,1.0819641091091565,0.9609484424155494,1.0866097020915262,1.1914778774261736
18,1.087310352420682,0.9629991909361214,1.0922236908593592,1.2017608451008828
19,1.0922654261483344,0.9621877182475572,1.0979391339909186,1.2074665735094618
20,1.097509984310385,0.9633017620451173,1.104208957904481,1.2166868300002203
21,1.102408591958237,0.9646516584674798,1.1083909693791392,1.2258256038463518
22,1.1076912336145857,0.961638363154267,1.1145440651225753,1.2327551838364834
23,1.1132929521087371,0.9632445468291567,1.1184316815281399,1.243693185815561
24,1.1175535017808798,0.9646038471553794,1.1229166340289707,1.2526848740118202
25,1.1224323649306096,0.9688458250915785,1.127956421719016,1.2625618086810861
26,1.1266488971263977,0.9684558491242208,1.1315458095683604,1.2719461501130056
27,1.1304002630261907,0.9707715937594255,1.1366621879466612,1.2773697412747729
28,1.1354891656235515,0.9719256766099942,1.140582020280958,1.286721214569115
29,1.140346987370378,0.9742473537335705,1.1446765537375803,1.2954005448714188
30,1.1459837211999342,0.9761558595867378,1.1512793412082072,1.3036018374158955
31,1.1516838875726363,0.9793929584269887,1.1562772539256407,1.312810185320509
32,1.1567566493434678,0.9813414762833952,1.1611831032097322,1.3218612161212817
33,1.1623306829926858,0.9824589950679883,1.1672095480926146,1.3323106160432945
34,1.167832764529296,0.9865210274653108,1.1745198728282413,1.339969614923392
35,1.1735143894100928,0.98638069713736,1.1787619021086373,1.3500575960372614
36,1.1780730624320939,0.984506798825608,1.183167739202705,1.36045155008795
37,1.182468383887645,0.988987073480092,1.186694415399652,1.3687393798956202
38,1.186707468403454,0.9881713930211129,1.1900505013489053,1.3732277852472345
39,1.1917286431993797,0.990995519135458,1.1953447022029249,1.3821129479624985
40,1.1966476132049226,0.9931460517293984,1.2004581218750732,1.3911879169031935
41,1.201900285274597,0.9928756067502502,1.2048749085209436,1.3972159587479418
42,1.2078464706713858,0.9950636510802755,1.2112939808521221,1.4089087453719091
43,1.2133708503613325,0.9932349806257073,1.2172930330997582,1.4154787211098536
44,1.2198034076297202,1.001579906881953,1.2233745800330647,1.4243490121685598
45,1.2252142990416193,1.0016141056356718,1.2288385430942976,1.4359294311613864
46,1.2310424612996607,1.0057672552865533,1.234035317356018,1.4475737417788122
47,1.2369709078193962,1.0054397241166917,1.2395188684207907,1.4562087130927224
48,1.2417796802653174,1.009267426101592,1.244854349431089,1.462453720072195
49,1.2457268479094137,1.010566099917166,1.2479257090396119,1.4729549797809627
50,1.2509018920859554,1.0143589837679918,1.2534801390019927,1.4792794671787814
51,1.2571233399422184,1.0179940193669983,1.2587892147812996,1.4857879148272728
52,1.2627648760170591,1.0212860125524856,1.2646814053825657,1.4944661640129373
53,1.268704621530425,1.0242766641674321,1.2699885780509872,1.503704920845536
54,1.274233562284614,1.0248168788950531,1.2772016951964926,1.5155926384999108
55,1.27998733968429,1.0290438241844482,1.280802515247845,1.5200513601571777
56,1.286827496802111,1.02993489067134,1.2889805643316001,1.5337372007862051
57,1.2930052719633358,1.0340922277828253,1.292278191987037,1.5449569147131785
58,1.2993959541615505,1.0359673426288392,1.2980438214878094,1.5528219128766296
59,1.3061503384056379,1.0445642782274003,1.3055604812723818,1.5673930632226283
60,1.3107951792493782,1.0422680607761186,1.30980949242156,1.5761892721170212
61,1.3156145929992413,1.0418925718404728,1.3130992162068758,1.5851371969807861
62,1.32092786798911,1.0454108737883834,1.3199349293845857,1.594227123174256
63,1.3268341965254227,1.0485841381655012,1.324890255895113,1.6047715299513559
64,1.3322843899402346,1.054119010305488,1.3293257958784765,1.6076707813419853
65,1.337785317424754,1.0570719922480276,1.3345435738421747,1.6166462495705596
